Month,BSC,Province,District,Cluster,Site Name,latitude,longitude,Home Op Customer Count,Comp A Customer Count,Comp B Customer Count,Comp C Customer Count,Comp D Customer Count,Total Customer Count,Home Op Market Share,Comp A Market Share,Comp B Market Share,Comp C Market Share,Comp D Market Share,Market Share
November,Masvingo,Masvingo,Chirumhanzu,Chirumhanzu,Fairfields,-19.37807,30.57226,2289,459,105,10,0,2863,79.95,16.03,3.67,0.35,0,3
November,Masvingo,Masvingo,Chirumhanzu,Chirumhanzu,Fairfields,-19.378067,30.572261,307,45,11,3,0,366,83.88,12.3,3.01,0.82,0,3
November,Masvingo,Masvingo,Chirumhanzu,Chirumhanzu,Holy Cross Mission,-19.562983,30.574957,2807,623,86,17,0,3533,79.45,17.63,2.43,0.48,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Chivi,-20.32516,30.53126,7296,976,339,43,1,8655,84.3,11.28,3.92,0.5,0.01,3
November,Masvingo,Masvingo,Chivi,Chivi,Chivi Centre,-20.31597,30.5066,6489,1023,334,92,3,7941,81.72,12.88,4.21,1.16,0.04,3
November,Masvingo,Masvingo,Chivi,Chivi,Chivi Turn Off,-20.40151,30.67813,2712,257,143,18,0,3130,86.65,8.21,4.57,0.58,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Chivi Turn Off,-20.4015,30.6781,818,150,58,7,0,1033,79.19,14.52,5.61,0.68,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Lundi,-20.8678,30.7783,1119,103,104,7,0,1333,83.95,7.73,7.8,0.53,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Lundi,-20.86778,30.77828,3804,319,240,14,1,4378,86.89,7.29,5.48,0.32,0.02,3
November,Masvingo,Masvingo,Chivi,Chivi,Lundi,-20.867778,30.778278,1649,151,131,4,0,1935,85.22,7.8,6.77,0.21,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Maringire,-20.61953,30.71547,4279,585,275,17,0,5156,82.99,11.35,5.33,0.33,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Maringire,-20.619528,30.715472,778,132,61,2,0,973,79.96,13.57,6.27,0.21,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Ngundu,-20.79603,30.79732,6502,892,432,43,0,7869,82.63,11.34,5.49,0.55,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Nyanja Mountain,-20.8039,30.9568,1867,168,57,8,0,2100,88.9,8,2.71,0.38,0,3
November,Masvingo,Masvingo,Chivi,Chivi,Nyanja Mountain,-20.80389,30.95683,8131,778,234,20,0,9163,88.74,8.49,2.55,0.22,0,3
